Timestamp,Class,Class Icon,Location,Duration,Total Silver,Silver/Hr,Trash/Hr,Loot Summary,Raw Data
2026-05-17 22:37:20,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:00:02,0,0,0,,{}
2026-05-17 23:03:48,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Ash Forest,00:00:46,1785000,137248017,3921,specter's cloth (x51),"{""specter's cloth"": {""qty"": 51, ""price"": 35000, ""icon"": ""drop_icons/44411.png""}}"
2026-05-17 23:03:51,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Ash Forest,00:00:46,1785000,128693097,3676,specter's cloth (x51),"{""specter's cloth"": {""qty"": 51, ""price"": 35000, ""icon"": ""drop_icons/44411.png""}}"
2026-05-17 23:05:53,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Ash Forest,00:01:42,735000,25790610,736,specter's cloth (x21),"{""specter's cloth"": {""qty"": 21, ""price"": 35000, ""icon"": ""drop_icons/44411.png""}}"
2026-05-17 23:36:22,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Ash Forest,00:01:42,735000,1370029,39,specter's cloth (x21),"{""specter's cloth"": {""qty"": 21, ""price"": 35000, ""icon"": ""drop_icons/44411.png""}}"
2026-05-17 23:51:01,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:01:19,0,0,0,,{}
2026-05-18 00:06:27,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Darkseeker's Retreat,00:10:03,122440200,729353098,11675,"decayed cloth (x1960), black stone (x3), sealed black magic crystal (x5), trace of nature (x2), ancient spirit dust (x11), imperfect lightstone of fire (x1)","{""decayed cloth"": {""qty"": 1960, ""price"": 45570, ""icon"": ""drop_icons/65330.png""}, ""black stone"": {""qty"": 3, ""price"": 257000, ""icon"": ""drop_icons/16001.png""}, ""sealed black magic crystal"": {""qty"": 5, ""price"": 4040000, ""icon"": ""https://assets.garmoth.com/img/new_icon/03_etc/04_dropitem/00768160.webp""}, ""trace of nature"": {""qty"": 2, ""price"": 291000, ""icon"": ""https://assets.garmoth.com/img/new_icon/03_etc/04_dropitem/00005960.webp""}, ""ancient spirit dust"": {""qty"": 11, ""price"": 420000, ""icon"": ""drop_icons/721002.png""}, ""imperfect lightstone of fire"": {""qty"": 1, ""price"": 6950000, ""icon"": ""https://assets.garmoth.com/img/new_icon/03_etc/04_dropitem/00766104.webp""}}"
2026-05-18 00:18:57,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Darkseeker's Retreat,00:11:20,254144080,1343812402,15037,"decayed cloth (x2844), sealed black magic crystal (x25), imperfect lightstone of fire (x1), ancient spirit dust (x19), black stone (x12), trace of nature (x19)","{""decayed cloth"": {""qty"": 2844, ""price"": 45570, ""icon"": ""drop_icons/65330.png""}, ""sealed black magic crystal"": {""qty"": 25, ""price"": 4040000, ""icon"": ""https://assets.garmoth.com/img/new_icon/03_etc/04_dropitem/00768160.webp""}, ""imperfect lightstone of fire"": {""qty"": 1, ""price"": 6950000, ""icon"": ""https://assets.garmoth.com/img/new_icon/03_etc/04_dropitem/00766104.webp""}, ""ancient spirit dust"": {""qty"": 19, ""price"": 420000, ""icon"": ""drop_icons/721002.png""}, ""black stone"": {""qty"": 12, ""price"": 257000, ""icon"": ""drop_icons/16001.png""}, ""trace of nature"": {""qty"": 19, ""price"": 291000, ""icon"": ""https://assets.garmoth.com/img/new_icon/03_etc/04_dropitem/00005960.webp""}}"
2026-05-18 00:59:49,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Darkseeker's Retreat,00:01:20,4374720,196090443,4303,decayed cloth (x96),"{""decayed cloth"": {""qty"": 96, ""price"": 45570, ""icon"": ""drop_icons/65330.png""}}"
2026-05-18 01:18:21,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Tungrad Ruins,00:01:24,10137400,431253154,7402,"tungrad ruins fragment (x174), sealed black magic crystal (x1)","{""tungrad ruins fragment"": {""qty"": 174, ""price"": 35100, ""icon"": ""drop_icons/65328.png""}, ""sealed black magic crystal"": {""qty"": 1, ""price"": 4030000, ""icon"": ""drop_icons/768160.png""}}"
2026-05-18 01:32:07,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Tungrad Ruins,00:00:37,2106000,200075157,5700,tungrad ruins fragment (x60),"{""tungrad ruins fragment"": {""qty"": 60, ""price"": 35100, ""icon"": ""drop_icons/65328.png""}}"
2026-05-18 01:42:17,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Darkseeker's Retreat,00:00:44,2825340,230504350,5058,decayed cloth (x62),"{""decayed cloth"": {""qty"": 62, ""price"": 45570, ""icon"": ""drop_icons/65330.png""}}"
2026-05-18 01:43:04,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Tungrad Ruins,00:00:42,4352400,363379114,10352,tungrad ruins fragment (x124),"{""tungrad ruins fragment"": {""qty"": 124, ""price"": 35100, ""icon"": ""drop_icons/65328.png""}}"
2026-05-18 01:51:56,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Tungrad Ruins,00:08:13,173444300,1262741033,28196,"tungrad ruins fragment (x3873), sealed black magic crystal (x7), ancient spirit dust (x23)","{""tungrad ruins fragment"": {""qty"": 3873, ""price"": 35100, ""icon"": ""drop_icons/65328.png""}, ""sealed black magic crystal"": {""qty"": 7, ""price"": 4030000, ""icon"": ""drop_icons/768160.png""}, ""ancient spirit dust"": {""qty"": 23, ""price"": 404000, ""icon"": ""drop_icons/721002.png""}}"
2026-05-18 01:55:44,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Tungrad Ruins,00:08:13,173444300,863697425,19286,"tungrad ruins fragment (x3873), sealed black magic crystal (x7), ancient spirit dust (x23)","{""tungrad ruins fragment"": {""qty"": 3873, ""price"": 35100, ""icon"": ""drop_icons/65328.png""}, ""sealed black magic crystal"": {""qty"": 7, ""price"": 4030000, ""icon"": ""drop_icons/768160.png""}, ""ancient spirit dust"": {""qty"": 23, ""price"": 404000, ""icon"": ""drop_icons/721002.png""}}"
2026-05-18 02:54:52,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Tungrad Ruins,00:09:10,121291400,792279984,14200,"tungrad ruins fragment (x2174), black stone (x30), specter's energy (x1), ancient spirit dust (x16), trace of nature (x1)","{""tungrad ruins fragment"": {""qty"": 2174, ""price"": 35100, ""icon"": ""drop_icons/65328.png""}, ""black stone"": {""qty"": 30, ""price"": 275000, ""icon"": ""drop_icons/16001.png""}, ""specter's energy"": {""qty"": 1, ""price"": 30000000, ""icon"": ""drop_icons/721044.png""}, ""ancient spirit dust"": {""qty"": 16, ""price"": 404000, ""icon"": ""drop_icons/721002.png""}, ""trace of nature"": {""qty"": 1, ""price"": 270000, ""icon"": ""drop_icons/5960.png""}}"
2026-05-18 02:55:46,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:00:09,0,0,0,,{}
2026-05-18 02:57:01,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Tungrad Ruins,00:00:30,9049300,1053415213,16646,"tungrad ruins fragment (x143), sealed black magic crystal (x1)","{""tungrad ruins fragment"": {""qty"": 143, ""price"": 35100, ""icon"": ""drop_icons/65328.png""}, ""sealed black magic crystal"": {""qty"": 1, ""price"": 4030000, ""icon"": ""drop_icons/768160.png""}}"
2026-05-18 18:35:04,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:03:04,0,0,0,,{}
2026-05-18 18:37:16,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:00:21,0,0,0,,{}
2026-05-18 19:13:26,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:01:57,0,0,0,,{}
2026-05-18 19:14:28,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:00:11,0,0,0,,{}
2026-05-18 19:53:25,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:01:15,0,0,0,,{}
2026-05-18 20:30:44,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:00:58,0,0,0,,{}
